date,replicate,tank,snail.density,snail,tile.x,tile.y,edge.y.n.,algae.y.n.,start.time,end.time,duration,aggregation,floating,notes
6/28/16,1,1,2,R,2,2,n,y,0:00:00,0:45:00,2700,0,0,
6/28/16,1,1,2,Y,4,1,n,n,0:00:00,0:03:47,227,0,1,Surface feeding
6/28/16,1,1,2,Y,5,1,y,y,0:03:47,0:03:59,12,0,1,Surface feeding
6/28/16,1,1,2,Y,4,1,n,n,0:03:59,0:06:20,141,0,1,Surface feeding
6/28/16,1,1,2,Y,5,1,y,y,0:06:20,0:09:03,163,0,1,Surface feeding
6/28/16,1,1,2,Y,5,2,y,n,0:09:03,0:10:17,74,0,1,Surface feeding
6/28/16,1,1,2,Y,5,3,y,y,0:10:17,0:11:02,45,0,1,Surface feeding
6/28/16,1,1,2,Y,5,4,y,n,0:11:02,0:11:35,33,0,1,Surface feeding
6/28/16,1,1,2,Y,5,5,y,n,0:11:35,0:12:25,50,0,1,Surface feeding
6/28/16,1,1,2,Y,4,5,y,n,0:12:25,0:12:57,32,0,1,Surface feeding
6/28/16,1,1,2,Y,4,4,n,y,0:12:57,0:16:21,204,0,1,Surface feeding
6/28/16,1,1,2,Y,3,4,n,n,0:16:21,0:17:44,83,0,1,Surface feeding
6/28/16,1,1,2,Y,3,3,n,y,0:17:44,0:18:08,24,0,1,Surface feeding
6/28/16,1,1,2,Y,4,3,n,n,0:18:08,0:18:24,16,0,1,Surface feeding
6/28/16,1,1,2,Y,4,4,n,y,0:18:24,0:27:12,528,0,1,Surface feeding
6/28/16,1,1,2,Y,3,4,n,n,0:27:12,0:27:45,33,0,1,Surface feeding
6/28/16,1,1,2,Y,3,3,n,y,0:27:45,0:28:14,29,0,1,Surface feeding
6/28/16,1,1,2,Y,4,3,n,n,0:28:14,0:29:01,47,0,1,Surface feeding
6/28/16,1,1,2,Y,4,4,n,y,0:29:01,0:30:47,106,0,1,Surface feeding
6/28/16,1,1,2,Y,3,4,n,n,0:30:47,0:31:06,19,0,1,Surface feeding
6/28/16,1,1,2,Y,4,4,n,y,0:31:06,0:33:26,140,0,1,Surface feeding
6/28/16,1,1,2,Y,4,3,n,n,0:33:26,0:34:14,48,0,1,Surface feeding
6/28/16,1,1,2,Y,4,4,n,y,0:34:14,0:34:55,41,0,1,Surface feeding
6/28/16,1,1,2,Y,4,3,n,n,0:34:55,0:35:41,46,0,1,Surface feeding
6/28/16,1,1,2,Y,4,4,n,y,0:35:41,0:37:30,109,0,1,Surface feeding
6/28/16,1,1,2,Y,4,3,n,n,0:37:30,0:38:16,46,0,1,Surface feeding
6/28/16,1,1,2,Y,4,4,n,y,0:38:16,0:42:29,253,0,1,Surface feeding
6/28/16,1,1,2,Y,5,4,y,n,0:42:29,0:42:51,22,0,1,Surface feeding
6/28/16,1,1,2,Y,1,1,n,y,0:42:51,0:45:00,129,0,1,Surface feeding
6/29/16,1,2,4,R,2,2,n,y,0:00:00,0:10:28,628,0,0,
6/29/16,1,2,4,R,1,1,n,y,0:10:28,0:45:00,2072,0,0,
6/29/16,1,2,4,Y,2,0,y,y,0:00:00,0:45:00,2700,0,0,
6/29/16,1,2,4,P,2,0,y,y,0:00:00,0:45:00,2700,0,0,
6/29/16,1,2,4,G,4,4,n,y,0:00:00,0:45:00,2700,0,0,
6/30/16,1,3,6,R,1,1,n,y,0:00:00,0:17:13,1033,0,0,
6/30/16,1,3,6,R,1,2,n,n,0:17:13,0:30:21,788,0,0,
6/30/16,1,3,6,R,2,2,n,y,0:30:21,0:45:00,879,0,0,
6/30/16,1,3,6,Y,0,3,y,n,0:00:00,0:05:02,302,0,0,
6/30/16,1,3,6,Y,0,4,y,y,0:05:02,0:34:22,1760,0,0,
6/30/16,1,3,6,Y,0,5,y,n,0:34:22,0:45:00,638,0,0,
6/30/16,1,3,6,G,2,2,n,y,0:00:00,0:45:00,2700,0,0,
6/30/16,1,3,6,P,4,3,n,n,0:00:00,0:04:20,260,0,1,Surface/edge feeding
6/30/16,1,3,6,P,5,2,y,n,0:04:20,0:15:58,698,0,1,Surface/edge feeding
6/30/16,1,3,6,P,5,1,y,y,0:15:58,0:17:12,74,0,1,Surface/edge feeding
6/30/16,1,3,6,P,5,2,y,n,0:17:12,0:28:32,680,0,1,Surface/edge feeding
6/30/16,1,3,6,P,5,3,y,y,0:28:32,0:45:00,988,0,1,Surface/edge feeding
6/30/16,1,3,6,B,3,1,n,y,0:00:00,0:11:37,697,0,0,
6/30/16,1,3,6,B,3,0,y,n,0:11:37,0:12:59,82,0,0,
6/30/16,1,3,6,B,4,0,y,y,0:12:59,0:45:00,1921,0,0,
6/30/16,1,3,6,RY,2,4,n,y,0:00:00,0:01:18,78,0,1,Surface/edge feeding
