Date,Trial,Tank,Density,AggregationIndex,Snail1,Snail2,StartTime,EndTime,Duration,Notes
6/30/16,1,3,6,0,G,R,0:41:01,0:45:00,239,
6/30/16,1,3,6,0,P,RY,0:18:11,0:18:20,9,
6/30/16,1,3,6,0,RY,P,0:11:00,0:12:00,60,floating / check snails
6/30/16,1,4,8,0,G,P,0:31:50,0:38:00,370,
6/29/16,1,5,10,0,G,R,0:44:00,0:44:43,43,
6/29/16,1,5,10,0,Y,P,0:24:50,0:28:53,243,
6/29/16,1,5,10,0,Y,P,0:36:30,0:37:01,31,
6/29/16,1,5,10,0,Y,P,0:38:18,0:39:00,42,
6/29/16,1,5,10,0,Y,P,0:39:44,0:41:43,119,
6/28/16,1,7,14,0,R,RP,0:03:20,0:05:11,111,
6/28/16,1,7,14,0,RP,YG,0:00:57,0:01:10,13,
6/28/16,1,7,14,0,RP,YG,0:01:28,0:05:11,223,
6/28/16,1,7,14,0,YG,R,0:03:20,0:07:13,233,
6/28/16,1,8,16,0,C,YB,0:22:09,0:22:29,20,
6/28/16,1,8,16,0,C,YB,0:22:37,0:22:51,14,
6/28/16,1,8,16,0,G,Y,0:35:14,0:35:34,20,
6/28/16,1,8,16,0,PB,GP,0:15:02,0:16:03,61,
6/28/16,1,8,16,0,Y,G,0:29:36,0:30:29,53,
6/28/16,1,8,16,0,Y,G,0:30:30,0:32:45,135,
6/30/16,1,12,8,1,R,RP,0:35:57,0:37:22,85,floating
6/29/16,1,14,12,1,RY,P,0:44:50,0:45:00,10,
6/29/16,1,14,12,1,YG,P,0:38:41,0:39:00,19,
6/29/16,1,15,14,1,RY,P,0:27:12,0:27:23,11,
6/29/16,1,15,14,1,RY,P,0:27:45,0:28:02,17,
6/29/16,1,15,14,1,RY,P,0:28:32,0:28:56,24,
6/29/16,1,15,14,1,RY,P,0:29:10,0:29:34,24,
6/29/16,1,15,14,1,RY,P,0:29:52,0:30:02,10,
6/29/16,1,15,14,1,RY,P,0:30:27,0:30:52,25,
6/29/16,1,15,14,1,RY,P,0:31:44,0:32:00,16,
6/29/16,1,15,14,1,RY,P,0:40:52,0:40:56,4,
6/29/16,1,15,14,1,RY,P,0:41:34,0:45:00,206,
6/29/16,1,15,14,1,YG,RP,0:19:00,0:19:32,32,
6/28/16,1,16,16,1,C,G,0:17:17,0:21:29,252,
6/28/16,1,16,16,1,P,RY,0:09:46,0:11:40,114,
6/28/16,1,16,16,1,P,RY,0:12:45,0:13:32,47,
6/28/16,1,16,16,1,P,RY,0:15:52,0:17:48,116,
6/28/16,1,16,16,1,P,RY,0:33:30,0:34:26,56,
6/28/16,1,16,16,1,P,RY,0:34:46,0:35:00,14,
6/28/16,1,16,16,1,P,RY,0:35:43,0:37:50,127,
6/28/16,1,16,16,1,P,RY,0:38:05,0:41:17,192,
6/28/16,1,16,16,1,P,RY,0:41:43,0:43:30,107,
6/28/16,1,16,16,1,RG,YB,0:30:50,0:32:13,83,
6/28/16,1,16,16,1,RP,YB,0:16:44,0:19:23,159,in crack
6/28/16,1,16,16,1,YG,RP,0:24:30,0:25:00,30,
