tank,replicate,snail,NeverMovedYN,MoveTime,TotalArea,GreenArea..in.2.,Notes,snail.density,aggregation.index
1,1,RR,1,0:45:00,4.141,3.306,,2,0
2,1,RR,0,0:10:28,4.042,3.59,,4,0
2,1,RR,1,0:45:00,4.2,3.713,,4,0
2,1,YY,1,0:45:00,4.316,2.549,,4,0
2,1,PP,1,0:45:00,4.316,2.549,,4,0
2,1,GG,1,0:45:00,4.29,3.35,,4,0
3,1,RR,0,0:17:13,3.914,0.248,,6,0
3,1,RR,0,0:30:21,NA,0,Not at algae tile,6,0
3,1,RR,1,0:45:00,4.236,3.589,,6,0
3,1,YY,0,0:05:02,NA,0,Not at algae tile,6,0
3,1,YY,0,0:34:22,4.426,3.664,,6,0
3,1,YY,1,0:45:00,NA,0,Not at algae tile,6,0
3,1,GG,1,0:45:00,4.056,3.428,,6,0
3,1,BB,0,0:11:37,4.533,4.054,,6,0
3,1,BB,0,0:12:59,NA,0,Not at algae tile,6,0
3,1,BB,1,0:45:00,4.651,3.692,,6,0
3,1,RY,1,0:45:00,4.804,3.46,,6,0
5,1,RR,0,0:23:24,3.998,3.428,,10,0
5,1,RR,0,0:25:32,NA,0,Not at algae tile,10,0
5,1,RR,1,0:45:00,4.128,2.831,Same as GG 45:00 and RB 45:00,10,0
5,1,GG,1,0:45:00,4.128,2.831,Same as RR 45:00,10,0
5,1,RB,1,0:45:00,4.128,2.831,Same as RR 45:00,10,0
5,1,YY,1,0:45:00,4.323,3.19,Same as PP 45:00,10,0
5,1,PP,0,0:05:23,4.231,3.378,,10,0
5,1,PP,0,0:09:54,4.24,3.69,,10,0
5,1,PP,0,0:10:58,NA,0,Not at algae tile,10,0
5,1,PP,0,0:17:01,4.372,3.684,,10,0
5,1,PP,1,0:45:00,4.323,3.19,Same as YY 45:00,10,0
5,1,BB,1,0:45:00,4.242,2.882,,10,0
5,1,RY,0,0:05:56,NA,0,Not at algae tile,10,0
5,1,RY,0,0:19:58,3.944,3.379,,10,0
5,1,RY,0,0:37:48,NA,0,Not at algae tile,10,0
5,1,RY,1,0:45:00,4.093,3.595,Same as RP 45:00,10,0
5,1,RG,0,0:34:32,NA,0,Not at algae tile,10,0
5,1,RG,1,0:45:00,4.283,3.567,,10,0
5,1,RP,0,0:04:59,NA,0,Not at algae tile,10,0
5,1,RP,1,0:45:00,4.093,3.595,Same as RY 45:00,10,0
5,1,YG,0,0:01:37,NA,0,Not at algae tile,10,0
5,1,YG,0,0:11:56,NA,0,Not at algae tile,10,0
5,1,YG,0,0:13:59,NA,0,Not at algae tile,10,0
5,1,YG,0,0:26:26,4.042,3.288,,10,0
5,1,YG,1,0:45:00,4.093,3.455,,10,0
6,1,RR,1,0:45:00,4.096,2.606,,12,0
6,1,YY,0,0:31:10,4.433,3.125,,12,0
6,1,YY,0,0:32:46,NA,0,Not at algae tile,12,0
6,1,YY,0,0:43:34,4.321,3.319,,12,0
6,1,YY,0,0:44:39,NA,0,Not at algae tile,12,0
6,1,YY,1,0:45:00,4.31,3.296,Same as BB,12,0
6,1,GG,0,0:02:55,NA,0,Not at algae tile,12,0
6,1,GG,1,0:45:00,4.531,3.672,,12,0
6,1,BB,0,0:03:48,NA,0,Not at algae tile,12,0
6,1,BB,1,0:45:00,4.31,3.296,Same as YY,12,0
