Trial,Tank,ColorID,SnailDensity,AggregationIndex,Length,Count
1,1,R,2,0,16.2,0
1,1,Y,2,0,16.4,0
1,2,G,4,0,13.3,0
1,2,P,4,0,13.2,1
1,2,R,4,0,14.7,0
1,2,Y,4,0,12.1,1
1,3,B,6,0,14.2,0
1,3,G,6,0,11.4,1
1,3,P,6,0,15.6,2
1,3,R,6,0,14.8,1
1,3,RY,6,0,17.8,2
1,3,Y,6,0,14.7,0
1,4,B,8,0,12.8,0
1,4,G,8,0,15.4,1
1,4,P,8,0,11.7,1
1,4,R,8,0,12,1
1,4,RG,8,0,13.4,0
1,4,RP,8,0,14.9,0
1,4,RY,8,0,12.8,1
1,4,Y,8,0,14.2,0
1,5,B,10,0,14.2,0
1,5,G,10,0,14.8,1
1,5,P,10,0,12.8,4
1,5,R,10,0,8.9,1
1,5,RB,10,0,16.9,1
1,5,RG,10,0,12.5,0
1,5,RP,10,0,5.9,0
1,5,RY,10,0,10,0
1,5,Y,10,0,14.7,4
1,5,YG,10,0,16,1
1,6,B,12,0,12.4,0
1,6,G,12,0,14.8,0
1,6,P,12,0,15.1,0
1,6,R,12,0,17.2,0
1,6,RB,12,0,16.2,0
1,6,RG,12,0,11.1,0
1,6,RP,12,0,11.8,0
1,6,RY,12,0,14.6,0
1,6,Y,12,0,16.1,0
1,6,YB,12,0,13.3,0
1,6,YG,12,0,16.1,0
1,6,YP,12,0,13,0
1,7,B,14,0,14.5,0
1,7,C,14,0,12.2,0
1,7,G,14,0,12.2,0
1,7,GP,14,0,12.3,0
1,7,P,14,0,15.7,0
1,7,R,14,0,9.7,2
1,7,RB,14,0,13.3,0
1,7,RG,14,0,10.4,0
1,7,RP,14,0,13.5,3
1,7,RY,14,0,12.3,0
1,7,Y,14,0,9.4,0
1,7,YB,14,0,15.3,0
1,7,YG,14,0,15.4,3
1,7,YP,14,0,12.7,0
1,8,B,16,0,12.2,0
1,8,C,16,0,12.7,2
1,8,G,16,0,14.5,3
1,8,GB,16,0,12.4,0
1,8,GP,16,0,15.8,1
1,8,P,16,0,13,0
1,8,P,16,0,15.2,0
1,8,PB,16,0,16.1,1
1,8,R,16,0,13.8,0
1,8,RB,16,0,12.7,0
1,8,RG,16,0,15.6,0
1,8,RP,16,0,11.1,0
1,8,RY,16,0,17,0
1,8,Y,16,0,17.3,3
1,8,YB,16,0,13.1,2
1,8,YG,16,0,12.7,0
1,9,R,2,1,15.3,0
1,9,Y,2,1,15.8,0
1,10,G,4,1,15.6,0
1,10,P,4,1,13,0
1,10,R,4,1,14.8,0
1,10,Y,4,1,14.6,0
1,11,B,6,1,18.1,0
1,11,G,6,1,12.8,0
1,11,P,6,1,11.8,0
1,11,R,6,1,9.2,0
1,11,RY,6,1,12.1,0
1,11,Y,6,1,15,0
1,12,B,8,1,15.1,1
1,12,G,8,1,13.4,0
1,12,P,8,1,11.8,0
1,12,R,8,1,14.7,1
1,12,RG,8,1,9.4,0
1,12,RP,8,1,16,2
1,12,RY,8,1,13.7,2
1,12,Y,8,1,9.7,0
1,13,B,9,1,16.8,2
1,13,G,9,1,11.8,0
1,13,P,9,1,10.3,0
1,13,R,9,1,11.3,0
1,13,RG,9,1,16.3,0
1,13,RP,9,1,14.4,0
1,13,RY,9,1,14.9,2
1,13,Y,9,1,14.8,0
1,13,YG,9,1,14.3,0
1,14,B,12,1,14.4,0
1,14,G,12,1,18.1,1
1,14,GB,12,1,15.6,0
1,14,GP,12,1,13,1
1,14,P,12,1,14.7,3
1,14,PB,12,1,14.4,0
1,14,R,12,1,13,0
1,14,RG,12,1,13.7,1
1,14,RP,12,1,12.5,1
1,14,RY,12,1,14.4,2
1,14,Y,12,1,14.3,1
1,14,YG,12,1,11.8,2
1,15,B,14,1,16.2,2
1,15,G,14,1,14.4,0
1,15,GB,14,1,15.5,1
1,15,GP,14,1,15.6,1
1,15,P,14,1,15.5,10
1,15,R,14,1,16.8,0
1,15,RB,14,1,14.8,1
1,15,RG,14,1,12.5,1
1,15,RP,14,1,14.4,2
1,15,RY,14,1,13.3,9
1,15,Y,14,1,10.6,0
1,15,YB,14,1,15.6,0
1,15,YG,14,1,11.1,1
1,15,YP,14,1,9.4,0
1,16,B,16,1,9.8,0
1,16,C,16,1,9.7,1
1,16,G,16,1,13.7,1
1,16,GB,16,1,12,0
1,16,GP,16,1,15.3,0
1,16,P,16,1,13,8
1,16,PB,16,1,13.7,0
1,16,R,16,1,12.5,0
1,16,RB,16,1,14.4,0
1,16,RG,16,1,15.8,1
1,16,RP,16,1,14.4,2
1,16,RY,16,1,16.4,8
1,16,Y,16,1,12.1,0
1,16,YB,16,1,15.2,2
1,16,YG,16,1,16.3,1
1,16,YP,16,1,9.9,0
1,17,R,2,2,15,0
1,17,Y,2,2,13,0
1,18,G,4,2,14.8,0
1,18,P,4,2,15.8,0
1,18,R,4,2,14.7,0
1,18,Y,4,2,12.4,0
1,19,B,6,2,15.7,0
1,19,G,6,2,15.5,0
1,19,P,6,2,13.8,2
1,19,R,6,2,11.7,0
1,19,RY,6,2,13.6,0
1,19,Y,6,2,12.8,2
1,20,B,8,2,12.4,0
1,20,G,8,2,15.2,0
1,20,P,8,2,13.1,0
1,20,R,8,2,11.5,1
1,20,RG,8,2,14.8,2
1,20,RP,8,2,11.6,0
1,20,RY,8,2,11.6,1
1,20,Y,8,2,12,2
1,21,B,10,2,11.3,1
1,21,G,10,2,11.9,1
1,21,P,10,2,13.8,0
1,21,R,10,2,14.1,0
1,21,RB,10,2,14.8,0
1,21,RG,10,2,14.4,0
1,21,RP,10,2,12.8,1
1,21,RY,10,2,15.7,1
1,21,Y,10,2,11.6,0
1,21,YG,10,2,12.2,0
1,22,B,12,2,15.2,2
1,22,G,12,2,11.7,0
1,22,P,12,2,14.4,3
1,22,R,12,2,13.4,10
1,22,RB,12,2,15.3,1
1,22,RG,12,2,13.5,0
1,22,RP,12,2,19.1,11
1,22,RY,12,2,12.9,3
1,22,Y,12,2,14.9,2
1,22,YB,12,2,15.7,0
1,22,YG,12,2,13,0
1,22,YP,12,2,13.7,0
1,23,B,14,2,15.3,0
1,23,G,14,2,13.9,1
1,23,GB,14,2,11.8,1
1,23,P,14,2,14.1,1
1,23,PB,14,2,15,8
1,23,R,14,2,17.3,1
1,23,RB,14,2,15.2,0
1,23,RG,14,2,12.5,2
1,23,RP,14,2,11.9,4
1,23,RY,14,2,15.2,4
1,23,Y,14,2,14.8,0
1,23,YB,14,2,14.4,1
1,23,YG,14,2,12,1
1,23,YP,14,2,10.1,8
1,24,B,16,2,9.7,1
1,24,C,16,2,14.5,0
1,24,G,16,2,16.2,3
1,24,GB,16,2,13.2,2
1,24,GP,16,2,15.4,0
1,24,P,16,2,16.5,0
1,24,PB,16,2,15.2,0
1,24,R,16,2,16.1,2
1,24,RB,16,2,15.3,3
1,24,RG,16,2,13.1,1
1,24,RP,16,2,14.2,2
1,24,RY,16,2,15.1,0
1,24,Y,16,2,14.4,0
1,24,YB,16,2,17.2,2
1,24,YG,16,2,10,3
1,24,YP,16,2,11.4,3
1,25,R,2,3,15,1
1,25,Y,2,3,13.2,1
1,26,G,4,3,13.4,0
1,26,P,4,3,16.6,0
1,26,R,4,3,14.3,0
1,26,Y,4,3,13,0
1,27,B,6,3,9.2,0
1,27,G,6,3,11.7,0
1,27,P,6,3,12.4,0
1,27,R,6,3,10.9,0
1,27,RY,6,3,12.3,0
1,27,Y,6,3,14.3,0
1,28,B,8,3,14.9,1
1,28,G,8,3,13.3,0
1,28,P,8,3,12.2,1
1,28,R,8,3,14.1,0
1,28,RG,8,3,13.1,0
1,28,RP,8,3,13,0
1,28,RY,8,3,14.9,0
1,28,Y,8,3,14.8,0
1,29,B,10,3,15,3
1,29,G,10,3,14.6,1
1,29,P,10,3,12.9,0
1,29,R,10,3,13.3,1
1,29,RB,10,3,16.7,0
1,29,RG,10,3,15.2,1
1,29,RP,10,3,14.8,3
1,29,RY,10,3,12,1
1,29,Y,10,3,12.7,0
1,29,YG,10,3,13.4,0
1,30,B,11,3,12.8,0
1,30,G,11,3,12.6,6
1,30,P,11,3,16.8,6
1,30,R,11,3,18.5,0
1,30,RB,11,3,14.3,11
1,30,RG,11,3,15.1,0
1,30,RP,11,3,11,0
1,30,RY,11,3,13.2,15
1,30,Y,11,3,11,0
1,30,YG,11,3,13.6,2
1,30,YP,11,3,12.8,0
1,31,B,13,3,11.3,0
1,31,G,13,3,13.6,3
1,31,GP,13,3,12.2,2
1,31,P,13,3,14.9,1
1,31,R,13,3,12.3,3
1,31,RB,13,3,13.4,0
1,31,RG,13,3,13,0
1,31,RP,13,3,13.3,0
1,31,RY,13,3,15.1,2
1,31,Y,13,3,14.9,1
1,31,YB,13,3,13.8,0
1,31,YG,13,3,13.6,2
1,31,YP,13,3,16.8,1
1,32,B,16,3,11.6,1
1,32,C,16,3,12.1,2
1,32,G,16,3,13.8,5
1,32,GB,16,3,13.4,6
1,32,GP,16,3,12.4,0
1,32,P,16,3,14.2,0
1,32,PB,16,3,16.4,2
1,32,R,16,3,11.6,0
1,32,RB,16,3,14.2,0
1,32,RG,16,3,12.1,3
1,32,RP,16,3,13.1,3
1,32,RY,16,3,13.5,3
1,32,Y,16,3,15.1,6
1,32,YB,16,3,14.2,5
1,32,YG,16,3,14.7,3
1,32,YP,16,3,16.6,1
1,33,R,2,4,12,0
1,33,Y,2,4,11.9,0
1,34,G,4,4,13.2,0
1,34,P,4,4,17.2,0
1,34,R,4,4,17,0
1,34,Y,4,4,15.1,0
1,35,B,6,4,12.5,0
1,35,G,6,4,13.4,0
1,35,P,6,4,13.2,0
1,35,R,6,4,13.2,0
1,35,RY,6,4,15,0
1,35,Y,6,4,12.6,0
1,36,B,8,4,5.5,0
1,36,G,8,4,11.9,0
1,36,P,8,4,15.1,0
1,36,R,8,4,13.7,0
1,36,RG,8,4,12.2,0
1,36,RP,8,4,15.2,1
1,36,RY,8,4,15.2,1
1,36,Y,8,4,12.9,0
1,37,B,10,4,12.2,4
1,37,G,10,4,12.2,0
